audio_path,text,is_correct,word_positions
..\data\audio\sentence_22_var3.wav,Лекарство врач назначает пациенту,1,"[3, 1, 2, 4]"
..\data\audio\sentence_22_var4.wav,Назначает пациенту врач лекарство,0,"[2, 4, 1, 3]"
..\data\audio\sentence_23_var1.wav,Спортсмен бежит по беговой дорожке,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_23_var2.wav,По беговой дорожке спортсмен бежит,1,"[3, 4, 5, 1, 2]"
..\data\audio\sentence_23_var3.wav,Бежит спортсмен по беговой дорожке,1,"[2, 1, 3, 4, 5]"
..\data\audio\sentence_23_var4.wav,Беговой спортсмен по дорожке бежит,0,"[4, 1, 3, 5, 2]"
..\data\audio\sentence_24_var1.wav,Птицы улетают на юг осенью,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_24_var2.wav,Осенью птицы улетают на юг,1,"[5, 1, 2, 3, 4]"
..\data\audio\sentence_24_var3.wav,На юг птицы улетают осенью,1,"[3, 4, 1, 2, 5]"
..\data\audio\sentence_24_var4.wav,Улетают осенью юг на птицы,0,"[2, 5, 4, 3, 1]"
..\data\audio\sentence_25_var1.wav,Официант подаёт кофе с молоком,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_25_var2.wav,С молоком официант подаёт кофе,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_25_var3.wav,Кофе официант подаёт с молоком,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_25_var4.wav,Подаёт официант молоком с кофе,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_26_var1.wav,Зимой дети лепят снеговика во дворе,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_26_var2.wav,Во дворе зимой дети лепят снеговика,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_26_var3.wav,Снеговика зимой дети лепят во дворе,1,"[4, 1, 2, 3, 5, 6]"
..\data\audio\sentence_26_var4.wav,Лепят зимой дети двор во снеговика,0,"[3, 1, 2, 6, 5, 4]"
..\data\audio\sentence_27_var1.wav,Музыкант играет на скрипке в оркестре,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_27_var2.wav,В оркестре музыкант играет на скрипке,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_27_var3.wav,На скрипке музыкант играет в оркестре,1,"[3, 4, 1, 2, 5, 6]"
..\data\audio\sentence_27_var4.wav,Играет музыкант оркестре в на скрипке,0,"[2, 1, 6, 5, 3, 4]"
..\data\audio\sentence_28_var1.wav,Рыбаки ловят рыбу в озере на рассвете.,1,"[1, 2, 3, 4, 5, 6, 7]"
..\data\audio\sentence_28_var2.wav,На рассвете рыбаки ловят рыбу в озере.,1,"[6, 7, 1, 2, 3, 4, 5]"
..\data\audio\sentence_28_var3.wav,В озере рыбаки ловят рыбу на рассвете.,1,"[4, 5, 1, 2, 3, 6, 7]"
..\data\audio\sentence_28_var4.wav,Ловят рыбаки рассвете на в озере рыбу.,0,"[2, 1, 7, 6, 4, 5, 3]"
..\data\audio\sentence_29_var1.wav,Художник рисует портрет маслом на холсте.,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_29_var2.wav,На холсте художник рисует портрет маслом.,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_29_var3.wav,Маслом художник рисует портрет на холсте.,1,"[4, 1, 2, 3, 5, 6]"
..\data\audio\sentence_29_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
